t,phase,ax,ay,az,gx,gy,gz
0.015,REST,0,0,0,0,0,0
0.030,REST,0,0,0,0,0,0
0.051,REST,0,0,0,0,0,0
0.071,REST,0,0,0,0,0,0
0.079,REST,993,-24,-239,-7,-1,2
0.095,REST,3965,-125,-970,-11,-4,3
0.117,REST,3957,-144,-980,3,4,-1
0.125,REST,3944,-153,-962,4,5,-4
0.141,REST,3948,-183,-953,20,2,-5
0.159,REST,3946,-217,-963,23,1,-1
0.174,REST,3935,-187,-990,25,-5,2
0.189,REST,3942,-150,-1013,14,0,-1
0.206,REST,3928,-119,-1011,6,-6,-1
0.220,REST,3951,-146,-970,-7,-4,-2
0.236,REST,3953,-190,-933,2,-4,-1
0.252,REST,3966,-209,-930,21,-2,2
0.266,REST,3969,-197,-932,32,3,-4
0.282,REST,3961,-152,-972,25,4,-11
0.297,REST,3938,-118,-993,12,0,-10
0.312,REST,3939,-117,-988,11,-2,-4
0.327,REST,3929,-116,-976,2,-8,6
0.335,REST,3948,-106,-986,-8,-4,16
0.357,REST,3959,-111,-992,-22,0,14
0.363,REST,3932,-109,-969,-34,-3,2
0.376,REST,3933,-59,-966,-28,-3,2
0.397,REST,3934,-54,-978,-42,1,10
0.412,REST,3970,-138,-962,-50,2,3
0.424,REST,3975,-196,-954,-36,5,-5
0.444,REST,3941,-206,-955,-18,12,-4
0.455,REST,3926,-167,-967,-6,14,-1
0.476,REST,3951,-94,-984,-20,12,4
0.492,REST,3940,-133,-971,-43,11,7
0.505,REST,3951,-243,-916,-39,-2,-2
0.520,REST,3970,-270,-916,12,0,-17
0.537,REST,3980,-215,-947,29,9,-20
0.551,REST,3958,-179,-954,19,6,-12
0.567,REST,3942,-226,-946,17,2,-28
0.582,REST,3945,-190,-942,50,-2,-26
0.582,REST,3964,-151,-955,45,4,-26
0.601,REST,3960,-130,-956,14,6,-23
0.613,REST,3937,-134,-937,21,1,-22
0.629,REST,3956,-110,-935,19,4,-22
0.657,REST,3949,-92,-955,5,4,-25
0.671,REST,3950,-88,-949,-10,1,-23
0.679,REST,3946,-75,-958,-10,5,-18
0.693,REST,3940,-70,-985,-17,3,-13
0.710,REST,3939,-122,-984,-28,4,-7
0.726,REST,3945,-173,-981,-27,4,-10
0.744,REST,3947,-195,-964,-18,2,-13
0.762,REST,3943,-185,-952,7,2,-19
